"Wall Distance (m)","X (m)","Y (m)","Z (m)"
4.99999721774454e-06,0.448875,0.15175,0
4.99998605753989e-06,0.446625,0.15175,0
4.99996382252061e-06,0.444375,0.15175,0
4.99993144771646e-06,0.442125,0.15175,0
4.99989335402175e-06,0.439875,0.15175,0
4.99985935793775e-06,0.437625,0.15175,0
4.99984491897377e-06,0.435375,0.15175,0
4.99986089922572e-06,0.433125,0.15175,0
4.99990247802898e-06,0.430875,0.15175,0
4.99995266661139e-06,0.428625,0.15175,0
4.99998861167746e-06,0.426375,0.15175,0
4.99998827418348e-06,0.424125,0.15175,0
4.99993571706647e-06,0.421875,0.15175,0
4.999822579258e-06,0.419625,0.15175,0
4.99964714014808e-06,0.417375,0.15175,0
4.99941040428751e-06,0.415125,0.15175,0
4.99911862203571e-06,0.412875,0.15175,0
4.99878558647633e-06,0.410625,0.15175,0
4.99842275177375e-06,0.408375,0.15175,0
4.99803572325725e-06,0.406125,0.15175,0
4.99762932942484e-06,0.403875,0.15175,0
4.99720789474869e-06,0.401625,0.15175,0
4.99677357220784e-06,0.399375,0.15175,0
4.99632667508688e-06,0.397125,0.15175,0
4.99586734315571e-06,0.394875,0.15175,0
4.99539739301635e-06,0.392625,0.15175,0
4.99492094968083e-06,0.390375,0.15175,0
4.99444364563009e-06,0.388125,0.15175,0
4.99396889612583e-06,0.385875,0.15175,0
4.99349769742676e-06,0.383625,0.15175,0
4.99303912966245e-06,0.381375,0.15175,0
4.99260889583484e-06,0.379125,0.15175,0
4.99221594019473e-06,0.376875,0.15175,0
4.99186871078874e-06,0.374625,0.15175,0
4.99158325041599e-06,0.372375,0.15175,0
4.99136734686459e-06,0.370125,0.15175,0
4.99122297213215e-06,0.367875,0.15175,0
4.99115345498098e-06,0.365625,0.15175,0
4.99115266518212e-06,0.363375,0.15175,0
4.99121965322452e-06,0.361125,0.15175,0
4.99134983985287e-06,0.358875,0.15175,0
4.99152998907857e-06,0.356625,0.15175,0
4.99175451253806e-06,0.354375,0.15175,0
4.99200813523914e-06,0.352125,0.15175,0
4.99228216866313e-06,0.349875,0.15175,0
4.99256453565993e-06,0.347625,0.15175,0
4.99283883555421e-06,0.345375,0.15175,0
4.99310468924649e-06,0.343125,0.15175,0
4.9933639559651e-06,0.340875,0.15175,0
4.99361867572377e-06,0.338625,0.15175,0
4.99386838469193e-06,0.336375,0.15175,0
4.99411312378162e-06,0.334125,0.15175,0
4.99435292375252e-06,0.331875,0.15175,0
4.99458775441398e-06,0.329625,0.15175,0
4.9948176211848e-06,0.327375,0.15175,0
4.99504252376016e-06,0.325125,0.15175,0
4.99526245806637e-06,0.322875,0.15175,0
4.99547742247346e-06,0.320625,0.15175,0
4.99568741533631e-06,0.318375,0.15175,0
4.99589243463601e-06,0.316125,0.15175,0
4.99609247849886e-06,0.313875,0.15175,0
4.99628754514901e-06,0.311625,0.15175,0
4.99647763285092e-06,0.309375,0.15175,0
4.99666273989132e-06,0.307125,0.15175,0
4.99684286459786e-06,0.304875,0.15175,0
4.99701800534654e-06,0.302625,0.15175,0
4.99718816058335e-06,0.300375,0.15175,0
4.99735332876073e-06,0.298125,0.15175,0
4.99751350838688e-06,0.295875,0.15175,0
4.99766869803233e-06,0.293625,0.15175,0
4.99781889630254e-06,0.291375,0.15175,0
4.99796410185126e-06,0.289125,0.15175,0
4.99810431335289e-06,0.286875,0.15175,0
4.99823952955219e-06,0.284625,0.15175,0
4.99836974922703e-06,0.282375,0.15175,0
4.99849497121931e-06,0.280125,0.15175,0
4.99861519439768e-06,0.277875,0.15175,0
4.99873041765885e-06,0.275625,0.15175,0
4.99884063998299e-06,0.273375,0.15175,0
4.99894586038459e-06,0.271125,0.15175,0
4.99904607790609e-06,0.268875,0.15175,0
4.99914129163873e-06,0.266625,0.15175,0
4.99923150072861e-06,0.264375,0.15175,0
4.99931670436435e-06,0.262125,0.15175,0
4.99939690176826e-06,0.259875,0.15175,0
4.99947209222625e-06,0.257625,0.15175,0
4.99954227505792e-06,0.255375,0.15175,0
4.9996074496386e-06,0.253125,0.15175,0
4.999667615386e-06,0.250875,0.15175,0
4.99972277173062e-06,0.248625,0.15175,0
4.99977291817997e-06,0.246375,0.15175,0
4.99981805429694e-06,0.244125,0.15175,0
4.99985817967218e-06,0.241875,0.15175,0
4.99989329394458e-06,0.239625,0.15175,0
4.99992339678838e-06,0.237375,0.15175,0
4.99994848793976e-06,0.235125,0.15175,0
4.9999685671696e-06,0.232875,0.15175,0
4.99998363429073e-06,0.230625,0.15175,0
4.99999368917821e-06,0.228375,0.15175,0
4.99999873172791e-06,0.226125,0.15175,0
4.99999876189822e-06,0.223875,0.15175,0
4.99999377968218e-06,0.221625,0.15175,0
4.99998378512843e-06,0.219375,0.15175,0
4.99996877833402e-06,0.217125,0.15175,0
4.99994875942395e-06,0.214875,0.15175,0
4.99992372860631e-06,0.212625,0.15175,0
4.99989368610317e-06,0.210375,0.15175,0
4.99985863215733e-06,0.208125,0.15175,0
4.99981856710207e-06,0.205875,0.15175,0
4.99977349131179e-06,0.203625,0.15175,0
4.99972340516143e-06,0.201375,0.15175,0
4.99966830910883e-06,0.199125,0.15175,0
4.99960820367444e-06,0.196875,0.15175,0
4.99954308938557e-06,0.194625,0.15175,0
4.99947296683219e-06,0.192375,0.15175,0
4.99939783664556e-06,0.190125,0.15175,0
4.99931769950576e-06,0.187875,0.15175,0
4.99923255613443e-06,0.185625,0.15175,0
4.99914240729482e-06,0.183375,0.15175,0
4.99904725379886e-06,0.181125,0.15175,0
4.99894709650691e-06,0.178875,0.15175,0
4.99884193632793e-06,0.176625,0.15175,0
4.99873177420576e-06,0.174375,0.15175,0
4.99861661112549e-06,0.172125,0.15175,0
4.99849644812818e-06,0.169875,0.15175,0
4.99837128630999e-06,0.167625,0.15175,0
4.99824112678132e-06,0.165375,0.15175,0
4.99810597070776e-06,0.163125,0.15175,0
4.99796581933149e-06,0.160875,0.15175,0
4.99782067390138e-06,0.158625,0.15175,0
4.99767053571514e-06,0.156375,0.15175,0
4.99751540614657e-06,0.154125,0.15175,0
4.99735528658345e-06,0.151875,0.15175,0
4.99719017844835e-06,0.149625,0.15175,0
4.99702008323304e-06,0.147375,0.15175,0
4.99684500247798e-06,0.145125,0.15175,0
4.99666493776521e-06,0.142875,0.15175,0
4.99647989069073e-06,0.140625,0.15175,0
4.99628986291989e-06,0.138375,0.15175,0
4.99609485618733e-06,0.136125,0.15175,0
4.99589487222783e-06,0.133875,0.15175,0
4.99568991283851e-06,0.131625,0.15175,0
4.99547997985825e-06,0.129375,0.15175,0
4.99526507517444e-06,0.127125,0.15175,0
4.99504520070902e-06,0.124875,0.15175,0
4.99482035844668e-06,0.122625,0.15175,0
4.99459055039957e-06,0.120375,0.15175,0
4.9943557786078e-06,0.118125,0.15175,0
4.99411604522242e-06,0.115875,0.15175,0
4.9938713548994e-06,0.113625,0.15175,0
4.99362170916528e-06,0.111375,0.15175,0
4.99336711452188e-06,0.109125,0.15175,0
4.99310760545544e-06,0.106875,0.15175,0
4.99284227142369e-06,0.104625,0.15175,0
4.99256820944356e-06,0.102375,0.15175,0
4.99228668822801e-06,0.100125,0.15175,0
4.99201383697689e-06,0.097875,0.15175,0
4.99175872784009e-06,0.095625,0.15175,0
4.99153270754289e-06,0.093375,0.15175,0
4.99135330318654e-06,0.091125,0.15175,0
4.99122419065735e-06,0.088875,0.15175,0
4.99115726197039e-06,0.086625,0.15175,0
4.99115829035614e-06,0.084375,0.15175,0
4.99122786107564e-06,0.082125,0.15175,0
4.99137218382869e-06,0.079875,0.15175,0
4.99158785070138e-06,0.077625,0.15175,0
4.99187138328936e-06,0.075375,0.15175,0
4.99221703480529e-06,0.073125,0.15175,0
4.99261158383802e-06,0.070875,0.15175,0
4.9930441080554e-06,0.068625,0.15175,0
4.99350221302954e-06,0.066375,0.15175,0
4.99397284049869e-06,0.064125,0.15175,0
4.99444833186762e-06,0.061875,0.15175,0
4.99492440095436e-06,0.059625,0.15175,0
4.9953979489113e-06,0.057375,0.15175,0
4.99586693244282e-06,0.055125,0.15175,0
4.99632737510351e-06,0.052875,0.15175,0
4.99677550239325e-06,0.050625,0.15175,0
4.99721053317285e-06,0.048375,0.15175,0
4.99763154996103e-06,0.046125,0.15175,0
4.99803668359291e-06,0.043875,0.15175,0
4.99842279637002e-06,0.041625,0.15175,0
4.99878589024729e-06,0.039375,0.15175,0
4.99911910048633e-06,0.037125,0.15175,0
4.99941053592522e-06,0.034875,0.15175,0
4.99964806581756e-06,0.032625,0.15175,0
4.99982427959228e-06,0.030375,0.15175,0
4.99993661892832e-06,0.028125,0.15175,0
4.99998839278304e-06,0.025875,0.15175,0
4.99998853667488e-06,0.023625,0.15175,0
4.99995264815398e-06,0.021375,0.15175,0
4.9999021440809e-06,0.019125,0.15175,0
4.99986039949356e-06,0.016875,0.15175,0
4.9998448668071e-06,0.014625,0.15175,0
4.99985938681053e-06,0.012375,0.15175,0
