"xh2: U","xh2: %y","x/h=2: Velocity[i] (m/s)","x/h=2: Direction [0,1,0] (m)"
-0.115748,0.001574,-1.8496837741436453E-5,0.0
-0.117721,0.003864,-0.06413200490674609,8.0E-4
-0.107861,0.006154,-0.07007514467790402,0.0016
-0.097867,0.008443,-0.07203258322465161,0.0024
-0.088201,0.010733,-0.07283200173930883,0.0032
-0.076701,0.013023,-0.07305130769743676,0.004
-0.06294,0.015312,-0.07287188907309773,0.0048
-0.047711,0.017602,-0.07239756354907508,0.005600000000000001
-0.03086,0.019892,-0.07167144634845286,0.0064
-0.011966,0.022181,-0.07073152304595448,0.0072
0.008515,0.024471,-0.06961532594891295,0.008
0.031838,0.026761,-0.06831162205997182,0.0088
0.05823,0.029051,-0.06686588714235105,0.0096
0.087427,0.03134,-0.06528305990431764,0.010400000000000001
0.119735,0.03363,-0.06356175230698793,0.011200000000000002
0.154063,0.03592,-0.06171096642758952,0.012
0.19046,0.038209,-0.05974349738931176,0.0128
0.22837,0.040499,-0.05766425894458509,0.013600000000000001
0.265019,0.042789,-0.05546748368955351,0.0144
0.300689,0.045078,-0.053154699901239416,0.0152
0.324177,0.046223,-0.0507363773642785,0.016
0.356495,0.048513,-0.04821839327462013,0.0168
0.386076,0.050805,-0.04560807224925705,0.0176
0.410102,0.05309,-0.04287136641075878,0.0184
0.429957,0.05538,-0.040017244774526506,0.0192
0.44609,0.05767,-0.037078588911790306,0.02
0.457996,0.05996,-0.034011009261855754,0.020800000000000003
0.467164,0.06225,-0.030802626309873543,0.0216
0.47376,0.06454,-0.02752452464716344,0.022400000000000003
0.47825,0.06683,-0.024026931838556222,0.0232
0.481089,0.06912,-0.020434955790515418,0.024
0.483339,0.07141,-0.01666102326097444,0.0248
0.485399,0.0737,-0.012694447431275487,0.0256
0.486967,0.07599,-0.008572002334503497,0.026400000000000003
0.488074,0.07828,-0.004144675688928189,0.027200000000000002
0.489166,0.08057,4.3420053353599645E-4,0.027999999999999997
0.489935,0.08286,0.005438397679983362,0.0288
0.491165,0.08515,0.010635462404066268,0.0296
0.492174,0.08744,0.016358072701035523,0.0304
0.493194,0.08973,0.02240614124217712,0.031200000000000002
0.49407,0.092015,0.02899352691172462,0.032
0.495039,0.094305,0.036224393570576316,0.032799999999999996
0.496223,0.096595,0.043788853793810104,0.0336
0.497796,0.098885,0.052639816604572245,0.0344
0.499221,0.10118,0.06147893691581634,0.0352
0.500718,0.10347,0.07219880428258987,0.036000000000000004
0.50186,0.10576,0.08318008931689862,0.0368
0.503465,0.10805,0.09535950932052628,0.0376
0.504802,0.11033,0.10900474386176116,0.0384
0.50635,0.11262,0.12264840994018689,0.0392
0.507729,0.11491,0.1391979170774847,0.04
0.508415,0.1172,0.15594439608837846,0.0408
0.509194,0.11949,0.1738057519811705,0.041600000000000005
0.509825,0.12178,0.19383050609620403,0.0424
0.510465,0.12408,0.21387141515489694,0.0432
0.510793,0.12636,0.2359430930806358,0.044000000000000004
0.510599,0.12865,0.25908610894878514,0.044800000000000006
0.509927,0.13094,0.282253176717203,0.045599999999999995
0.50881,0.13323,0.30740306505803805,0.0464
0.506729,0.13553,0.33281198302619275,0.0472
0.503403,0.13781,0.35809253372766103,0.048
0.498319,0.1401,0.3805899610662452,0.0488
0.491349,0.14239,0.403100643782315,0.0496
0.480084,0.14468,0.4243899519551738,0.0504
0.461588,0.14697,0.4379131247113433,0.0512
null,null,0.45143618327922147,0.052000000000000005
null,null,0.4637491037632563,0.05280000000000001
null,null,0.4693183642870913,0.0536
null,null,0.4748878424284092,0.054400000000000004
null,null,0.48009807027850443,0.0552
null,null,0.48216965454911603,0.055999999999999994
null,null,0.4842413477856492,0.056799999999999996
null,null,0.4863123658904654,0.0576
null,null,0.4873280422780839,0.0584
null,null,0.4883357909893225,0.0592
null,null,0.4893435775592675,0.06
